"","mechanism","buffer.lower","buffer.size","bitrate","power"
"1","Provisioning",NA,NA,1,1.8214
"2","Provisioning",NA,NA,2,1.9046
"3","Provisioning",NA,NA,4,2.0709
"4","Provisioning",NA,NA,6,2.2372
"5","Provisioning",NA,NA,8,2.4035
"6","Provisioning",NA,NA,10,2.5698
"79","Streaming","4","32",1,0.86114
"80","Streaming","4","32",2,1.065
"81","Streaming","4","32",4,1.4478
"82","Streaming","4","32",6,1.8307
"83","Streaming","4","32",8,2.2135
"84","Streaming","4","32",10,2.5964
"103","Live",NA,NA,1,2.1569
"104","Live",NA,NA,2,2.24
"105","Live",NA,NA,4,2.4063
"106","Live",NA,NA,6,2.5726
"107","Live",NA,NA,8,2.7389
"108","Live",NA,NA,10,2.9052
"109","Download",NA,NA,1,0.3032
"110","Download",NA,NA,2,0.54423
"111","Download",NA,NA,4,1.0263
"112","Download",NA,NA,6,1.5083
"113","Download",NA,NA,8,1.9904
"114","Download",NA,NA,10,2.4724
