"","mechanism","buffer.lower","buffer.size","bitrate","wasted.data","connections","value"
"2","Streaming","16","16",10,213.8694,21,FALSE
"3","Streaming","16","16",2,43.3767,84,FALSE
"5","Streaming","16","16",6,129.8113,53,FALSE
"8","Streaming","16","32",10,287.8776,11,FALSE
"9","Streaming","16","32",2,57.9893,42,FALSE
"11","Streaming","16","32",6,176.9123,27,FALSE
"14","Streaming","16","4",10,176.2119,1,FALSE
"15","Streaming","16","4",2,35.9068,2,FALSE
"17","Streaming","16","4",6,106.8001,1,FALSE
"20","Streaming","16","8",10,192.9466,1,FALSE
"21","Streaming","16","8",2,39.7712,2,FALSE
"23","Streaming","16","8",6,118.0933,1,FALSE
"26","Streaming","32","16",10,361.0398,20,FALSE
"27","Streaming","32","16",2,75.0868,83,FALSE
"29","Streaming","32","16",6,222.5627,52,FALSE
"32","Streaming","32","32",10,433.6788,10,FALSE
"33","Streaming","32","32",2,88.3776,42,FALSE
"35","Streaming","32","32",6,268.2022,26,FALSE
"38","Streaming","32","4",10,324.6262,1,FALSE
"39","Streaming","32","4",2,67.1369,1,TRUE
"41","Streaming","32","4",6,199.8117,1,FALSE
"44","Streaming","32","8",10,340.9764,1,FALSE
"45","Streaming","32","8",2,70.9781,1,FALSE
"47","Streaming","32","8",6,211.2347,1,FALSE
"50","Streaming","4","16",10,98.3649,22,FALSE
"51","Streaming","4","16",2,20.0974,84,FALSE
"53","Streaming","4","16",6,59.4435,53,FALSE
"56","Streaming","4","32",10,176.5865,11,FALSE
"57","Streaming","4","32",2,35.4334,43,FALSE
"59","Streaming","4","32",6,106.3101,27,FALSE
"62","Streaming","4","4",10,59.3029,1,TRUE
"63","Streaming","4","4",2,12.7578,2,TRUE
"65","Streaming","4","4",6,35.515,1,TRUE
"68","Streaming","4","8",10,79.5572,1,FALSE
"69","Streaming","4","8",2,16.2932,2,FALSE
"71","Streaming","4","8",6,47.2224,1,FALSE
"74","Streaming","8","16",10,137.2609,22,FALSE
"75","Streaming","8","16",2,27.9306,84,FALSE
"77","Streaming","8","16",6,82.7997,53,FALSE
"80","Streaming","8","32",10,213.6544,11,FALSE
"81","Streaming","8","32",2,43.9603,43,FALSE
"83","Streaming","8","32",6,129.8468,27,FALSE
"86","Streaming","8","4",10,98.3514,1,FALSE
"87","Streaming","8","4",2,20.1767,2,FALSE
"89","Streaming","8","4",6,59.3126,1,FALSE
"92","Streaming","8","8",10,119.3161,1,FALSE
"93","Streaming","8","8",2,24.2521,2,FALSE
"95","Streaming","8","8",6,71.3452,1,FALSE
