"","mechanism","buffer.lower","buffer.size","bitrate","connections","power","value"
"2","Streaming","16","16","10",21,2.7204,FALSE
"3","Streaming","16","16","2",84,1.5733,FALSE
"5","Streaming","16","16","6",53,2.153,FALSE
"8","Streaming","16","32","10",11,2.5964,FALSE
"9","Streaming","16","32","2",42,1.0525,TRUE
"11","Streaming","16","32","6",27,1.8307,FALSE
"14","Streaming","16","4","10",1,2.8176,FALSE
"15","Streaming","16","4","2",2,1.9323,FALSE
"17","Streaming","16","4","6",1,2.3756,FALSE
"20","Streaming","16","8","10",1,2.8135,FALSE
"21","Streaming","16","8","2",2,1.9325,FALSE
"23","Streaming","16","8","6",1,2.3758,FALSE
"26","Streaming","32","16","10",20,2.708,FALSE
"27","Streaming","32","16","2",83,1.5608,FALSE
"29","Streaming","32","16","6",52,2.1406,FALSE
"32","Streaming","32","32","10",10,2.584,TRUE
"33","Streaming","32","32","2",42,1.0525,TRUE
"35","Streaming","32","32","6",26,1.8183,TRUE
"38","Streaming","32","4","10",1,2.8009,FALSE
"39","Streaming","32","4","2",1,1.9211,TRUE
"41","Streaming","32","4","6",1,2.3589,TRUE
"44","Streaming","32","8","10",1,2.7967,TRUE
"45","Streaming","32","8","2",1,1.9213,FALSE
"47","Streaming","32","8","6",1,2.359,FALSE
"50","Streaming","4","16","10",22,2.7328,FALSE
"51","Streaming","4","16","2",84,1.5733,FALSE
"53","Streaming","4","16","6",53,2.153,FALSE
"56","Streaming","4","32","10",11,2.5964,FALSE
"57","Streaming","4","32","2",43,1.065,FALSE
"59","Streaming","4","32","6",27,1.8307,FALSE
"62","Streaming","4","4","10",1,2.8303,FALSE
"63","Streaming","4","4","2",2,1.933,FALSE
"65","Streaming","4","4","6",1,2.391,FALSE
"68","Streaming","4","8","10",1,2.8304,FALSE
"69","Streaming","4","8","2",2,1.9332,FALSE
"71","Streaming","4","8","6",1,2.3841,FALSE
"74","Streaming","8","16","10",22,2.7328,FALSE
"75","Streaming","8","16","2",84,1.5733,FALSE
"77","Streaming","8","16","6",53,2.153,FALSE
"80","Streaming","8","32","10",11,2.5964,FALSE
"81","Streaming","8","32","2",43,1.065,FALSE
"83","Streaming","8","32","6",27,1.8307,FALSE
"86","Streaming","8","4","10",1,2.826,FALSE
"87","Streaming","8","4","2",2,1.9327,FALSE
"89","Streaming","8","4","6",1,2.3839,FALSE
"92","Streaming","8","8","10",1,2.8218,FALSE
"93","Streaming","8","8","2",2,1.9329,FALSE
"95","Streaming","8","8","6",1,2.3841,FALSE
