TDCH,SI,cA
1,2,0.1
2,2,0.1
3,1.9954,0.1
4,0.96022,0.1
5,0.022203,0.1
6,3.8779e-05,0.1
7,1.5139e-08,0.1
8,2.5848e-12,0.1
9,2.2204e-16,0.1
10,0,0.1
11,0,0.1
12,0,0.1
13,0,0.1
14,0,0.1
15,0,0.1
16,0,0.1
17,0,0.1
18,0,0.1
19,0,0.1
20,0,0.1
21,0,0.1
22,0,0.1
23,0,0.1
24,0,0.1
25,0,0.1
26,0,0.1
27,0,0.1
28,0,0.1
29,0,0.1
30,0,0.1
31,0,0.1
32,0,0.1
33,0,0.1
34,0,0.1
35,0,0.1
36,0,0.1
37,0,0.1
38,0,0.1
39,0,0.1
40,0,0.1
41,0,0.1
42,0,0.1
43,0,0.1
44,0,0.1
45,0,0.1
46,0,0.1
47,0,0.1
48,0,0.1
49,0,0.1
50,0,0.1
1,1.993,0.5
2,1.7817,0.5
3,1.2907,0.5
4,0.81328,0.5
5,0.47859,0.5
6,0.27372,0.5
7,0.15536,0.5
8,0.088467,0.5
9,0.050834,0.5
10,0.029561,0.5
11,0.017422,0.5
12,0.010411,0.5
13,0.006308,0.5
14,0.0038744,0.5
15,0.0024112,0.5
16,0.0015197,0.5
17,0.00096952,0.5
18,0.00062569,0.5
19,0.00040826,0.5
20,0.0002692,0.5
21,0.00017928,0.5
22,0.00012054,0.5
23,8.1776e-05,0.5
24,5.596e-05,0.5
25,3.8609e-05,0.5
26,2.6848e-05,0.5
27,1.881e-05,0.5
28,1.3273e-05,0.5
29,9.4301e-06,0.5
30,6.744e-06,0.5
31,4.8534e-06,0.5
32,3.514e-06,0.5
33,2.5589e-06,0.5
34,1.8738e-06,0.5
35,1.3795e-06,0.5
36,1.0209e-06,0.5
37,7.5919e-07,0.5
38,5.6729e-07,0.5
39,4.2586e-07,0.5
40,3.2111e-07,0.5
41,2.4317e-07,0.5
42,1.8491e-07,0.5
43,1.4117e-07,0.5
44,1.082e-07,0.5
45,8.3242e-08,0.5
46,6.4274e-08,0.5
47,4.9803e-08,0.5
48,3.8723e-08,0.5
49,3.0208e-08,0.5
50,2.3641e-08,0.5
1,1.7883,1
2,1.3228,1
3,0.94361,1
4,0.67721,1
5,0.49379,1
6,0.36637,1
7,0.2764,1
8,0.21173,1
9,0.16444,1
10,0.1293,1
11,0.10282,1
12,0.082591,1
13,0.066953,1
14,0.054732,1
15,0.045084,1
16,0.037399,1
17,0.031224,1
18,0.026225,1
19,0.022149,1
20,0.018803,1
21,0.01604,1
22,0.013744,1
23,0.011826,1
24,0.010217,1
25,0.0088594,1
26,0.0077094,1
27,0.0067309,1
28,0.0058952,1
29,0.0051787,1
30,0.0045622,1
31,0.00403,1
32,0.003569,1
33,0.0031685,1
34,0.0028195,1
35,0.0025146,1
36,0.0022475,1
37,0.0020129,1
38,0.0018063,1
39,0.001624,1
40,0.0014628,1
41,0.0013199,1
42,0.0011929,1
43,0.0010799,1
44,0.00097917,1
45,0.00088916,1
46,0.0008086,1
47,0.00073637,1
48,0.00067151,1
49,0.00061317,1
50,0.00056061,1
1,0.89302,5
2,0.60411,5
3,0.4574,5
4,0.36679,5
5,0.30483,5
6,0.25968,5
7,0.2253,5
8,0.19826,5
9,0.17645,5
10,0.1585,5
11,0.14348,5
12,0.13075,5
13,0.11983,5
14,0.11037,5
15,0.1021,5
16,0.094814,5
17,0.088359,5
18,0.082602,5
19,0.07744,5
20,0.072788,5
21,0.068579,5
22,0.064753,5
23,0.061264,5
24,0.058071,5
25,0.055139,5
26,0.05244,5
27,0.049947,5
28,0.04764,5
29,0.0455,5
30,0.043509,5
31,0.041655,5
32,0.039923,5
33,0.038304,5
34,0.036786,5
35,0.035362,5
36,0.034023,5
37,0.032763,5
38,0.031575,5
39,0.030454,5
40,0.029394,5
41,0.028391,5
42,0.02744,5
43,0.026539,5
44,0.025683,5
45,0.02487,5
46,0.024096,5
47,0.023359,5
48,0.022657,5
49,0.021987,5
50,0.021347,5
1,0.66804,10
2,0.45236,10
3,0.3471,10
4,0.28276,10
5,0.23879,10
6,0.20663,10
7,0.182,10
8,0.16248,10
9,0.14661,10
10,0.13344,10
11,0.12234,10
12,0.11285,10
13,0.10463,10
14,0.097461,10
15,0.091142,10
16,0.085533,10
17,0.080522,10
18,0.076018,10
19,0.071949,10
20,0.068256,10
21,0.064888,10
22,0.061807,10
23,0.058976,10
24,0.056367,10
25,0.053956,10
26,0.051722,10
27,0.049645,10
28,0.04771,10
29,0.045904,10
30,0.044214,10
31,0.04263,10
32,0.041142,10
33,0.039742,10
34,0.038423,10
35,0.037177,10
36,0.036,10
37,0.034886,10
38,0.03383,10
39,0.032828,10
40,0.031876,10
41,0.03097,10
42,0.030107,10
43,0.029285,10
44,0.0285,10
45,0.027751,10
46,0.027034,10
47,0.026349,10
48,0.025692,10
49,0.025063,10
50,0.024459,10
